HeritageItemID,ItemName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,DataEntryStatus,AssessedSignificance,ListingNumber,OwnerCode1,OwnerCode2,OwnerCode3,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,Property
5065917,Bowral Public School - Building B011,Built,,1,Basic,1,5,13440,1335,South East and Tablelands,0.4049,Gandangara,Bowral,49 Bendooley Street Bowral 2576,Wingecarribee,49,Bendooley Street,1 2 1 802776
5065918,Bowral High School - Buildings B00D and B00H,Built,,1,Basic,1,5,12386,8104,South East and Tablelands,4.515,Gandangara,Bowral,7 Park Road Bowral 2576,Wingecarribee,7,Park Road,1 1 1 794075
5065919,"Bundanoon Public School - Buildings B00A, B00B, B00D and B00E",Built,,1,Basic,1,5,12407,1414,South East and Tablelands,1.8867,Gandangara,Bundanoon,6-14 Church Street Bundanoon 2578,Wingecarribee,Jun-14,Church Street,1 101 1 857483
5065920,Exeter Public School - Buildings B00B and B00F and Significant Trees,Built,,1,Basic,1,5,11961,1891,South East and Tablelands,1.6984,Gandangara,Exeter,School Lane Exeter 2579,Wingecarribee,,School Lane,1 1 1 795381
5065921,Glenquarry Public School - Buildings B00A and B00F,Built,,1,Basic,1,5,11580,2015,South East and Tablelands,1.62,Gandangara,Glenquarry,35 Tourist Road Glenquarry 2576,Wingecarribee,35,Tourist Road,1 1 1 797630
5065922,Moss Vale Public School - Buildings B00B and B00C,Built,,1,Basic,1,5,10747,2631,South East and Tablelands,1.6466,Gandangara,Moss Vale,12 Browley Street Moss Vale 2577,Wingecarribee,12,Browley Street,1 1 1 323450
5065923,"Penrose Public School - Buildings B00A, B00B, B00E and B00F and Significant Trees",Built,,1,Basic,1,5,10578,2860,South East and Tablelands,1.6188,Gandangara,Penrose,817 Penrose Road Penrose 2579,Wingecarribee,817,Penrose Road,1 110 1 751259
5065924,"Robertson Public School - Buildings B00A, B00B and B00D",Built,,1,Basic,1,5,10763,2971,South East and Tablelands,1.51342,Gandangara,Robertson,47-53 Hoddle Street Robertson 2577,Wingecarribee,47-53,Hoddle Street,1 1 Section 14 1 758882
5065925,Wingello Public School - Building B00D,Built,,1,Basic,1,5,12909,3461,South East and Tablelands,4.452,Gandangara,Wingello,591 Murrimba Road Wingello 2579,Wingecarribee,591,Murrimba Road,1 76 1 751298
5065926,Bowral Public School,Complex / Group,Education,1,Basic,1,6,12385,1335,South East and Tablelands,1.432,Gandangara,Bowral,47 Bendooley Street Bowral 2576,Wingecarribee,47,Bendooley Street,1 1 1 802776
